Race Date,Race Class,Race Distance,Place,Horse No,Horse Name,Jockey,Trainer,Actual Weight,Declared Weight,Draw,LBW,Running Position,Finish Time,Win Odds
2024/10/13,第五班,1650,1,5,喜勝威龍 (G395),黃智弘,大衛希斯,124,1117,7,-,"2                                                        

2                                                        

2                                                        

12221",1:41.92,7.7
2024/10/13,第五班,1650,2,2,架勢奇爸 (G312),布文,告東尼,133,1132,3,頭位,"6                                                        

5                                                        

1                                                        

26512",1:41.95,4.4
2024/10/13,第五班,1650,3,7,贏科超影 (A164),蔡明紹,廖康銘,122,1003,6,1-1/4,"8                                                        

7                                                        

6                                                        

38763",1:42.14,6.8
2024/10/13,第五班,1650,4,8,星雲浩騰 (G372),潘明輝,葉楚航,118,1131,5,2,"1                                                        

1                                                        

3                                                        

41134",1:42.24,10
2024/10/13,第五班,1650,5,1,上市魅力 (H196),潘頓,蘇偉賢,134,1108,4,2,"4                                                        

4                                                        

4                                                        

54445",1:42.25,3.4
2024/10/13,第五班,1650,6,6,領頭先駒 (G313),周俊樂,容天鵬,129,1050,1,4,"3                                                        

3                                                        

5                                                        

63356",1:42.56,5.2
2024/10/13,第五班,1650,7,4,馬有運 (H121),田泰安,伍鵬志,132,1128,2,4-1/2,"5                                                        

6                                                        

7                                                        

75677",1:42.65,9.1
2024/10/13,第五班,1650,8,3,九尾狐 (J059),艾道拿,賀賢,132,1048,8,4-3/4,"7                                                        

8                                                        

8                                                        

87888",1:42.66,42
2024/10/09,第五班,1650,1,5,喜勝威龍 (G395),黃智弘,大衛希斯,124,1117,7,-,"2                                                        

2                                                        

2                                                        

12221",1:41.92,7.7
2024/10/09,第五班,1650,2,2,架勢奇爸 (G312),布文,告東尼,133,1132,3,頭位,"6                                                        

5                                                        

1                                                        

26512",1:41.95,4.4
2024/10/09,第五班,1650,3,7,贏科超影 (A164),蔡明紹,廖康銘,122,1003,6,1-1/4,"8                                                        

7                                                        

6                                                        

38763",1:42.14,6.8
2024/10/09,第五班,1650,4,8,星雲浩騰 (G372),潘明輝,葉楚航,118,1131,5,2,"1                                                        

1                                                        

3                                                        

41134",1:42.24,10
2024/10/09,第五班,1650,5,1,上市魅力 (H196),潘頓,蘇偉賢,134,1108,4,2,"4                                                        

4                                                        

4                                                        

54445",1:42.25,3.4
2024/10/09,第五班,1650,6,6,領頭先駒 (G313),周俊樂,容天鵬,129,1050,1,4,"3                                                        

3                                                        

5                                                        

63356",1:42.56,5.2
2024/10/09,第五班,1650,7,4,馬有運 (H121),田泰安,伍鵬志,132,1128,2,4-1/2,"5                                                        

6                                                        

7                                                        

75677",1:42.65,9.1
2024/10/09,第五班,1650,8,3,九尾狐 (J059),艾道拿,賀賢,132,1048,8,4-3/4,"7                                                        

8                                                        

8                                                        

87888",1:42.66,42
2024/10/06,第五班,1800,1,1,富喜來 (H213),布文,沈集成,134,1083,2,-,"8                                                        

7                                                        

9                                                        

7                                                        

187971",1:47.49,2.6
2024/10/06,第五班,1800,2,4,果然得 (J035),艾道拿,方嘉柏,131,1119,7,3,"2                                                        

2                                                        

2                                                        

2                                                        

222222",1:47.98,6.1
2024/10/06,第五班,1800,3,3,永勝金駒 (H471),周俊樂,丁冠豪,129,1028,5,3-3/4,"7                                                        

8                                                        

8                                                        

8                                                        

378883",1:48.08,16
2024/10/06,第五班,1800,4,7,豐盛多彩 (G301),希威森,韋達,126,1107,4,3-3/4,"1                                                        

1                                                        

1                                                        

1                                                        

411114",1:48.09,7.6
2024/10/06,第五班,1800,5,6,皇金風速 (E448),巴度,蘇偉賢,127,1032,9,4,"4                                                        

4                                                        

4                                                        

3                                                        

544435",1:48.11,26
2024/10/06,第五班,1800,6,9,揚威四方 (G026),楊明綸,韋達,125,1057,10,4-3/4,"11                                                        

10                                                        

11                                                        

11                                                        

6111011116",1:48.24,41
2024/10/06,第五班,1800,7,11,皮具大師 (H034),賀銘年,容天鵬,120,1125,6,5-1/4,"3                                                        

3                                                        

3                                                        

4                                                        

733347",1:48.31,31
2024/10/06,第五班,1800,8,5,樂天派 (E166),湯普新,大衛希斯,128,1148,11,5-1/2,"10                                                        

11                                                        

10                                                        

10                                                        

8101110108",1:48.38,32
2024/10/06,第五班,1800,9,2,神煞金剛 (H202),艾兆禮,葉楚航,133,1132,8,6,"9                                                        

9                                                        

5                                                        

5                                                        

999559",1:48.44,9
2024/10/06,第五班,1800,10,10,喜悅一生 (G072),田泰安,鄭俊偉,120,1153,3,6,"5                                                        

6                                                        

6                                                        

6                                                        

10566610",1:48.46,6.8
2024/10/06,第五班,1800,11,8,竣誠駒 (H486),鍾易禮,告東尼,123,1160,1,12-3/4,"6                                                        

5                                                        

7                                                        

9                                                        

11657911",1:49.52,11
2024/10/01,第五班,1400,1,5,星運皇爵 (H489),布文,方嘉柏,128,1093,7,-,"8                                                        

8                                                        

6                                                        

18861",1:22.08,6.1
2024/10/01,第五班,1400,2,2,欣樂人生 (H426),梁家俊,姚本輝,132,1115,2,1/2,"2                                                        

3                                                        

3                                                        

22332",1:22.16,4.6
2024/10/01,第五班,1400,3,9,無敵精英 (G129),田泰安,伍鵬志,122,1104,4,1,"7                                                        

6                                                        

7                                                        

37673",1:22.25,6.3
2024/10/01,第五班,1400,4,8,紅鬃烈馬 (D087),鍾易禮,葉楚航,121,1031,3,1-3/4,"3                                                        

4                                                        

4                                                        

43444",1:22.34,14
2024/10/01,第五班,1400,5,7,青春力量 (H358),楊明綸,大衛希斯,127,1016,11,2-1/4,"9                                                        

10                                                        

10                                                        

5910105",1:22.43,42
2024/10/01,第五班,1400,6,4,香飄萬里 (H437),潘頓,蘇偉賢,131,1180,5,3-1/2,"5                                                        

5                                                        

5                                                        

65556",1:22.62,3
2024/10/01,第五班,1400,7,11,雄昇勇士 (J067),希威森,徐雨石,120,1211,1,3-3/4,"1                                                        

1                                                        

1                                                        

71117",1:22.68,23
2024/10/01,第五班,1400,8,3,魅力一心 (H195),艾兆禮,游達榮,132,1197,8,4-1/4,"10                                                        

9                                                        

8                                                        

810988",1:22.75,20
2024/10/01,第五班,1400,9,6,悠悠我心 (H245),黃寶妮,賀賢,117,1152,9,7-1/2,"11                                                        

11                                                        

11                                                        

91111119",1:23.30,77
2024/10/01,第五班,1400,10,1,連捷 (J177),巴度,韋達,133,1116,6,10-1/2,"6                                                        

7                                                        

9                                                        

1067910",1:23.75,15
2024/10/01,第五班,1400,11,10,荃程路通 (E403),蔡明紹,文家良,122,1098,10,11-1/2,"4                                                        

2                                                        

2                                                        

1142211",1:23.91,11
2024/09/28,第五班,1200,1,1,日日獎 (H283),湯普新,方嘉柏,135,1170,2,-,"4                                                        

3                                                        

1431",1:10.10,5
2024/09/28,第五班,1200,2,8,星火燎原 (J150),鍾易禮,徐雨石,125,1131,9,頸位,"5                                                        

5                                                        

2552",1:10.16,11
2024/09/28,第五班,1200,3,5,高明力量 (H353),艾道拿,葉楚航,131,1160,8,1-1/4,"8                                                        

8                                                        

3883",1:10.32,14
2024/09/28,第五班,1200,4,9,帝豪歡星 (H248),楊明綸,鄭俊偉,117,1070,7,1-1/4,"2                                                        

2                                                        

4224",1:10.32,5.8
2024/09/28,第五班,1200,5,7,最多歡笑 (G251),蔡明紹,巫偉傑,129,1082,3,1-3/4,"9                                                        

9                                                        

5995",1:10.38,4.7
2024/09/28,第五班,1200,6,4,閃耀威龍 (G427),梁家俊,文家良,134,1069,1,2-1/2,"3                                                        

4                                                        

6346",1:10.49,9.1
2024/09/28,第五班,1200,7,6,鑽飾翱翔 (G201),黃智弘,姚本輝,123,1202,6,2-1/2,"1                                                        

1                                                        

7117",1:10.49,5.3
2024/09/28,第五班,1200,8,3,醒目勇駒 (B456),潘頓,蘇偉賢,134,1136,4,5-3/4,"7                                                        

6                                                        

8768",1:11.01,7
2024/09/28,第五班,1200,9,2,綫路通明 (H479),賀銘年,容天鵬,134,1271,5,9,"6                                                        

7                                                        

9679",1:11.54,33
2024/09/25,第五班,1800,1,3,符號 (E194),田泰安,徐雨石,126,1003,8,-,"1                                                        

1                                                        

1                                                        

1                                                        

111111",1:49.54,8.9
2024/09/25,第五班,1800,2,4,果然得 (J035),艾道拿,方嘉柏,126,1121,1,1-3/4,"3                                                        

3                                                        

3                                                        

2                                                        

233322",1:49.83,4.4
2024/09/25,第五班,1800,3,10,贏科超影 (A164),蔡明紹,廖康銘,120,1012,4,3-1/4,"8                                                        

9                                                        

9                                                        

9                                                        

389993",1:50.05,14
2024/09/25,第五班,1800,4,1,富喜來 (H213),布文,沈集成,131,1084,3,3-3/4,"7                                                        

7                                                        

7                                                        

7                                                        

477774",1:50.15,2.6
2024/09/25,第五班,1800,5,2,家樂飛駒 (D267),艾兆禮,賀賢,131,1090,5,4,"6                                                        

6                                                        

6                                                        

6                                                        

566665",1:50.17,18
2024/09/25,第五班,1800,6,7,樂天派 (E166),潘頓,大衛希斯,124,1145,2,4-1/4,"5                                                        

4                                                        

5                                                        

4                                                        

654546",1:50.22,4.7
2024/09/25,第五班,1800,7,6,竣誠駒 (H486),鍾易禮,告東尼,121,1165,9,5-3/4,"4                                                        

5                                                        

4                                                        

5                                                        

745457",1:50.47,28
2024/09/25,第五班,1800,8,9,揚威四方 (G026),楊明綸,韋達,123,1067,10,6-1/2,"10                                                        

10                                                        

10                                                        

10                                                        

8101010108",1:50.59,41
2024/09/25,第五班,1800,9,8,皇金風速 (E448),巴度,蘇偉賢,123,1034,6,7-1/2,"2                                                        

2                                                        

2                                                        

3                                                        

922239",1:50.75,23
2024/09/25,第五班,1800,10,5,滿載歸來 (H083),周俊樂,容天鵬,124,1198,7,10,"9                                                        

8                                                        

8                                                        

8                                                        

10988810",1:51.15,16
2024/09/22,第四班,1650,1,3,歡樂老撾 (H432),潘明輝,姚本輝,129,1023,7,-,"4                                                        

5                                                        

5                                                        

14551",1:39.22,18
2024/09/22,第四班,1650,2,9,歡喜福星 (G354),霍宏聲,方嘉柏,123,1018,2,3/4,"2                                                        

2                                                        

2                                                        

22222",1:39.36,3.1
2024/09/22,第四班,1650,3,8,年年友福 (G463),湯普新,鄭俊偉,124,1176,8,3/4,"10                                                        

10                                                        

9                                                        

3101093",1:39.36,8
2024/09/22,第四班,1650,4,4,超旺財 (J194),何澤堯,伍鵬志,130,1085,9,1-1/2,"3                                                        

4                                                        

4                                                        

43444",1:39.44,7.3
2024/09/22,第四班,1650,5,7,客家之光 (J105),梁家俊,沈集成,127,1132,10,3,"1                                                        

1                                                        

1                                                        

51115",1:39.69,9.4
2024/09/22,第四班,1650,6,2,怪獸奇兵 (E369),黃寶妮,文家良,122,1159,4,6-1/4,"6                                                        

3                                                        

3                                                        

66336",1:40.23,5.9
2024/09/22,第四班,1650,7,1,發財秘笈 (G303),田泰安,丁冠豪,135,1020,1,7-1/2,"5                                                        

6                                                        

6                                                        

75667",1:40.41,7.7
2024/09/22,第四班,1650,8,10,電玩勇士 (J178),蔡明紹,韋達,120,1033,6,9-3/4,"8                                                        

8                                                        

8                                                        

88888",1:40.77,46
2024/09/22,第四班,1650,9,5,太陽高高 (H390),周俊樂,容天鵬,128,1180,3,9-3/4,"7                                                        

7                                                        

7                                                        

97779",1:40.79,7.5
2024/09/22,第四班,1650,10,6,運來伍寶 (J153),巫顯東,鄭俊偉,126,1070,5,23-3/4,"9                                                        

9                                                        

10                                                        

10991010",1:43.01,55
2024/09/18,第四班,1200,1,5,精彩駿將 (J417),布文,方嘉柏,127,1162,5,-,"1                                                        

1                                                        

1111",1:09.56,4.5
2024/09/18,第四班,1200,2,2,飲杯 (J219),潘頓,大衛希斯,134,1196,1,頸位,"2                                                        

2                                                        

2222",1:09.64,2.3
2024/09/18,第四班,1200,3,8,新幹線 (H277),蔡明紹,韋達,118,1173,4,2-3/4,"4                                                        

3                                                        

3433",1:10.01,20
2024/09/18,第四班,1200,4,7,五福星 (J099),田泰安,羅富全,119,1074,6,3-3/4,"5                                                        

6                                                        

4564",1:10.15,12
2024/09/18,第四班,1200,5,6,電訊驕陽 (J332),董明朗,徐雨石,126,1032,8,4-3/4,"8                                                        

8                                                        

5885",1:10.32,137
2024/09/18,第四班,1200,6,1,仁仁之寶 (G119),何澤堯,黎昭昇,135,1217,2,4-3/4,"6                                                        

5                                                        

6656",1:10.33,21
2024/09/18,第四班,1200,7,4,荷花之星 (J016),鍾易禮,沈集成,127,1084,7,4-3/4,"3                                                        

4                                                        

7347",1:10.34,58
2024/09/18,第四班,1200,8,9,精明選擇 (J146),潘明輝,伍鵬志,115,1123,9,5-3/4,"9                                                        

9                                                        

8998",1:10.49,28
2024/09/18,第四班,1200,9,3,日馳千里 (J143),賀銘年,姚本輝,131,1106,3,8,"7                                                        

7                                                        

9779",1:10.83,3
2024/09/15,第四班,1600,1,3,共享富裕 (J390),布文,方嘉柏,127,1026,4,-,"7                                                        

8                                                        

7                                                        

17871",1:33.70,2
2024/09/15,第四班,1600,2,9,精算特殊 (H354),希威森,容天鵬,117,1067,5,頸位,"6                                                        

6                                                        

6                                                        

26662",1:33.77,5.8
2024/09/15,第四班,1600,3,8,神駒馬靈 (J162),潘明輝,伍鵬志,117,1110,3,1/2,"2                                                        

3                                                        

3                                                        

32333",1:33.80,9
2024/09/15,第四班,1600,4,5,英駿飛駒 (H376),田泰安,韋達,125,1190,2,2-3/4,"4                                                        

4                                                        

4                                                        

44444",1:34.14,4.8
2024/09/15,第四班,1600,5,4,綠色好運 (J083),巴度,姚本輝,127,1143,1,4,"5                                                        

5                                                        

5                                                        

55555",1:34.36,24
2024/09/15,第四班,1600,6,6,久久為金 (J110),黃寶妮,賀賢,115,1166,6,6,"1                                                        

1                                                        

1                                                        

61116",1:34.66,16
2024/09/15,第四班,1600,7,7,美麗多盈 (G477),艾道拿,告東尼,121,1067,7,6-1/4,"8                                                        

7                                                        

8                                                        

78787",1:34.70,10
2024/09/15,第四班,1600,8,1,君智盛 (J213),梁家俊,姚本輝,135,1087,8,6-3/4,"3                                                        

2                                                        

2                                                        

83228",1:34.76,32
2024/09/15,第四班,1600,9,2,幸運同行 (J331),艾兆禮,蔡約翰,133,1003,9,10,"9                                                        

9                                                        

9                                                        

99999",1:35.31,60
2024/09/11,第五班,1200,1,8,怪獸豪俠 (G282),潘明輝,文家良,120,1116,2,-,"1                                                        

1                                                        

1111",1:10.63,5.6
2024/09/11,第五班,1200,2,2,欣樂人生 (H426),梁家俊,姚本輝,131,1122,5,3,"2                                                        

3                                                        

2232",1:11.11,2.7
2024/09/11,第五班,1200,3,3,宏才 (G408),潘頓,蘇偉賢,130,1090,6,5,"6                                                        

6                                                        

3663",1:11.44,5
2024/09/11,第五班,1200,4,5,神速馬車 (H193),艾道拿,韋達,128,1113,8,5-1/4,"9                                                        

8                                                        

4984",1:11.49,7.9
2024/09/11,第五班,1200,5,7,南區旺 (H178),田泰安,羅富全,124,1056,9,7-1/4,"3                                                        

2                                                        

5325",1:11.78,6.4
2024/09/11,第五班,1200,6,6,欣感 (H443),湯普新,黎昭昇,127,1041,4,7-1/2,"7                                                        

7                                                        

6776",1:11.83,43
2024/09/11,第五班,1200,7,1,日日獎 (H283),黃智弘,方嘉柏,125,1160,1,7-1/2,"4                                                        

4                                                        

7447",1:11.84,17
2024/09/11,第五班,1200,8,9,前風 (E281),蔡明紹,徐雨石,120,1052,7,8,"8                                                        

9                                                        

8898",1:11.90,24
2024/09/11,第五班,1200,9,4,高明力量 (H353),周俊樂,葉楚航,127,1147,3,13-1/2,"5                                                        

5                                                        

9559",1:12.78,15
2024/09/08,第五班,1600,1,8,上市魅力 (H196),潘頓,蘇偉賢,129,1092,6,-,"4                                                        

4                                                        

4                                                        

14441",1:35.08,2.8
2024/09/08,第五班,1600,2,11,樂天派 (E166),田泰安,大衛希斯,126,1146,4,1/2,"8                                                        

9                                                        

8                                                        

28982",1:35.15,29
2024/09/08,第五班,1600,3,2,富喜來 (H213),布文,沈集成,135,1071,12,1-1/4,"11                                                        

10                                                        

10                                                        

31110103",1:35.29,3.5
2024/09/08,第五班,1600,4,5,電路九號 (G140),周俊樂,葉楚航,129,1120,1,1-1/2,"7                                                        

6                                                        

5                                                        

47654",1:35.30,16
2024/09/08,第五班,1600,5,6,極速之子 (H332),班德禮,姚本輝,130,1049,11,2,"10                                                        

11                                                        

11                                                        

51011115",1:35.40,45
